FZ,RL
1139.91,192.10000000000002
1148.11,192.10000000000002
1145.57,192.10000000000002
1135.95,192.2
1120.61,192.10000000000002
1106.07,192.2
1097.41,192.10000000000002
1097.62,192.2
1100.21,192.2
1108.11,192.3
1121.52,192.2
1133.24,192.2
1141.84,192.3
1139.74,192.2
1130.76,192.3
1116.29,192.3
1102.05,192.3
1092.82,192.3
1091.45,192.3
1093.28,192.39999999999998
1101.78,192.39999999999998
1113.23,192.3
1122.96,192.3
1132.43,192.3
1133.37,192.39999999999998
1125.34,192.3
1114.4,192.3
1099.2,192.3
1088.54,192.39999999999998
1086.05,192.3
1084.22,192.39999999999998
1090.26,192.39999999999998
1102.33,192.39999999999998
1110.9,192.39999999999998
1117.85,192.39999999999998
1122.9,192.39999999999998
1116.62,192.39999999999998
1101.29,192.39999999999998
1089.65,192.39999999999998
1078.79,192.39999999999998
1074.62,192.39999999999998
1075.82,192.39999999999998
1080.6,192.39999999999998
1087.43,192.39999999999998
1099.92,192.39999999999998
1105.48,192.39999999999998
1110.07,192.39999999999998
1106.16,192.39999999999998
1094.03,192.3
1082.04,192.39999999999998
1071.79,192.39999999999998
1065.3,192.39999999999998
1066.91,192.39999999999998
1067.69,192.39999999999998
1075.62,192.39999999999998
1084.92,192.39999999999998
1088.72,192.5
1092.06,192.3
1088.31,192.39999999999998
1080.02,192.3
1067.22,192.3
1052.37,192.39999999999998
1044.04,192.39999999999998
1042.5,192.39999999999998
1048.04,192.39999999999998
1053.62,192.39999999999998
1060.9,192.39999999999998
1069.33,192.3
1073.7,192.3
1075.7,192.3
1070.6,192.2
1060.48,192.2
1046.84,192.2
1036.92,192.2
1030.52,192.10000000000002
1032.72,192.10000000000002
1036.76,192.10000000000002
1048.36,192.0
1060.0,191.9
1071.89,191.9
1076.61,191.9
1076.15,191.8
1065.23,191.8
1049.88,191.8
1037.27,191.9
1031.32,191.70000000000002
1033.43,191.70000000000002
1038.99,191.8
1049.77,191.70000000000002
1063.03,191.70000000000002
1078.02,191.6
1084.5,191.6
1085.0,191.6
1073.82,191.5
1061.28,191.5
1043.88,191.5
1038.98,191.5
1033.62,191.5
1037.24,191.5
1047.19,191.4
1062.04,191.29999999999998
1075.4,191.29999999999998
1085.62,191.29999999999998
1090.68,191.29999999999998
1083.6,191.20000000000002
1069.0,191.20000000000002
1052.51,191.20000000000002
1040.3,191.1
1034.03,191.1
1038.48,191.1
1049.62,191.20000000000002
1063.83,191.0
1075.69,191.1
1089.23,191.0
1093.7,191.0
1089.61,190.9
1079.29,190.9
1061.99,190.9
1047.38,190.9
1038.71,190.9
1042.36,190.9
1048.8,190.79999999999998
1061.89,190.79999999999998
1073.86,190.7
1085.69,190.7
1095.94,190.7
1095.26,190.7
1082.9,190.7
1066.96,190.6
1051.12,190.6
1040.92,190.6
1039.51,190.6
1043.67,190.6
1058.7,190.5
1072.14,190.39999999999998
1087.32,190.5
1095.54,190.39999999999998
1097.84,190.3
1088.06,190.39999999999998
1069.24,190.39999999999998
1050.72,190.3
1040.54,190.3
1037.14,190.3
1040.72,190.3
1053.14,190.3
1067.33,190.2
1082.86,190.2
1094.31,190.10000000000002
1097.28,190.10000000000002
1091.03,190.10000000000002
1073.51,190.0
1057.62,190.0
1041.51,190.0
1038.65,190.0
